No. of Papers,2015,2015_Probability,2015_CumulativeProbability,2014,2014_Probability,2014_CumulativeProbability,2013,2013_Probability,2013_CumulativeProbability,
13,0,0,1,0,0,1,0,0,1
12,0,0,1,0,0,1,0,0,1
11,0,0,1,0,0,1,0,0,1
10,0,0,1,0,0,1,0,0,1
9,0,0,1,0,0,1,0,0,1
8,0,0,1,0,0,1,0,0,1
7,0,0,1,0,0,1,0,0,1
6,0,0,1,1,0.01,1,1,0.01,1
5,1,0.01,1,0,0,0.99,0,0,0.99
4,1,0.01,0.99,0,0,0.99,1,0.01,0.99
3,4,0.06,0.97,4,0.06,0.99,1,0.01,0.97
2,7,0.1,0.91,9,0.13,0.93,9,0.13,0.96
1,19,0.28,0.81,13,0.19,0.8,14,0.2,0.83
0,37,0.54,0.54,42,0.61,0.61,43,0.62,0.62

